('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         817663 function calls (793369 primitive calls) in 2.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2607    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
     3347    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     4018    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2403    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      806    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
     6843    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
    194/4    0.001    0.000    0.486    0.121 <frozen importlib._bootstrap>:911(_load_unlocked)
       39    0.001    0.000    0.005    0.000 response.py:122(decompress)
      255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       22    0.001    0.000    0.842    0.038 __init__.py:1(<module>)
      255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2481    0.000    0.000    0.002    0.000 css_parser.py:307(match)
     2705    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     3146    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2812    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2592    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      170    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       10    0.000    0.000    0.003    0.000 enum.py:894(_convert_)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      121    0.000    0.000    0.002    0.000 typing.py:1423(__init__)
      194    0.000    0.000    0.065    0.000 _parser.py:970(parse)
      295    0.000    0.000    1.350    0.005 socket.py:706(readinto)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1006    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1010    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
     2704    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
     1520    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    441/8    0.000    0.000    0.485    0.061 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      192    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
      931    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
    170/4    0.000    0.000    0.486    0.121 <frozen importlib._bootstrap_external>:1020(exec_module)
     2556    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     1091    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2578    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      873    0.000    0.000    0.001    0.000 enum.py:1585(_get_value)
      929    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      327    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
     1558    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      510    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     2531    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
  194/190    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1020    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      295    0.000    0.000    1.349    0.005 ssl.py:1129(read)
      194    0.000    0.000    0.041    0.000 _compiler.py:576(_code)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      194    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1544    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
  217/179    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      212    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       56    0.000    0.000    0.003    0.000 typing.py:753(Union)
      746    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    1.868    1.868 financial.py:7(main)
      827    0.000    0.000    0.000    0.000 element.py:2160(get)
  709/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      127    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
        6    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
      568    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       22    0.000    0.000    0.001    0.000 enum.py:498(__new__)
      180    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       48    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      305    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      118    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       39    0.000    0.000    0.462    0.012 response.py:1173(read_chunked)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      740    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       31    0.000    0.000    0.001    0.000 filter.py:378(__init__)
       65    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      214    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
