('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         718700 function calls (697884 primitive calls) in 2.707 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   105/87    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      104    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      103    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      103    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      100    0.000    0.000    0.000    0.000 enum.py:917(<lambda>)
       99    0.001    0.000    0.003    0.000 _compiler.py:470(_get_charset_prefix)
       98    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       97    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       97    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       94    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       94    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
       91    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
     90/1    0.001    0.000    2.707    2.707 {built-in method builtins.exec}
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       89    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
       89    0.004    0.000    1.018    0.011 {method 'read' of '_io.BufferedReader' objects}
       89    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       88    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       88    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       88    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
     88/5    0.000    0.000    0.181    0.036 <frozen importlib._bootstrap_external>:1020(exec_module)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       88    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
       88    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       88    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
       87    0.000    0.000    0.002    0.000 typing.py:1423(__init__)
       86    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       71    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       71    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 element.py:1873(_all_strings)
       68    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       66    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       65    0.000    0.000    0.000    0.000 element.py:657(_last_descendant)
       65    0.003    0.000    0.016    0.000 filter.py:129(filter)
       62    0.000    0.000    0.000    0.000 filter.py:224(__init__)
       59    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
    57/38    0.000    0.000    0.002    0.000 typing.py:574(__getitem__)
       57    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
       53    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       52    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       52    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
    52/14    0.001    0.000    0.012    0.001 css_parser.py:911(parse_selectors)
       52    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       50    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
       50    0.000    0.000    0.000    0.000 parser.py:123(set_cdata_mode)
       47    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
    44/33    0.000    0.000    0.067    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       42    0.000    0.000    0.000    0.000 __init__.py:613(__missing__)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:569(parse_pseudo_class)
       41    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       41    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       40    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
       39    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       38    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       38    0.000    0.000    0.000    0.000 enum.py:795(<genexpr>)
       38    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       38    0.000    0.000    0.002    0.000 typing.py:753(Union)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:732(parse_pseudo_open)
       37    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
       36    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
